,x
1,PAT_R_do 9
2,PAT_R_do 8
3,PAT_R_do 7
4,PAT_R_do 6
5,PAT_R_do 5
6,PAT_R_do 4
7,PAT_R_do 3
8,PAT_R_do 2
9,PAT_R_do 10
10,PAT_R_do 1
11,PAT_L_do 9
12,PAT_L_do 8
13,PAT_L_do 7
14,PAT_L_do 6
15,PAT_L_do 5
16,PAT_L_do 4
17,PAT_L_do 3
18,PAT_L_do 2
19,PAT_L_do 10
20,PAT_L_do 1
21,LM_R_zasq
22,LM_R_zadp
23,LM_R_za
24,LM_R_vooc
25,LM_R_vomx
26,LM_R_smx
27,LM_R_pf
28,LM_R_oc
29,LM_R_mxor
30,LM_R_mxdp
31,LM_R_mpf
32,LM_R_mf
33,LM_R_kdp3
34,LM_R_kdp2
35,LM_R_kdp1
36,LM_R_ju
37,LM_R_inmf
38,LM_R_fror
39,LM_R_dsf
40,LM_R_cp
41,LM_L_zasq
42,LM_L_zadp
43,LM_L_za
44,LM_L_vooc
45,LM_L_vomx
46,LM_L_smx
47,LM_L_pf
48,LM_L_oc
49,LM_L_mxor
50,LM_L_mxdp
51,LM_L_mpf
52,LM_L_mf
53,LM_L_kdp3
54,LM_L_kdp2
55,LM_L_kdp1
56,LM_L_ju
57,LM_L_inmf
58,LM_L_fror
59,LM_L_dsf
60,LM_L_cp
61,LM_C_vooc
62,LM_C_vo
63,LM_C_vevomx
64,LM_C_pa
65,LM_C_oc
66,LM_C_fm
67,CUR_R_zave 4
68,CUR_R_zave 3
69,CUR_R_zave 2
70,CUR_R_zave 1
71,CUR_R_zado 4
72,CUR_R_zado 3
73,CUR_R_zado 2
74,CUR_R_zado 1
75,CUR_R_sqpa 2
76,CUR_R_sqpa 1
77,CUR_R_smxmxvo 3
78,CUR_R_smxmxvo 2
79,CUR_R_smxmxvo 1
80,CUR_R_smxmf 5
81,CUR_R_smxmf 4
82,CUR_R_smxmf 3
83,CUR_R_smxmf 2
84,CUR_R_smxmf 1
85,CUR_R_maorza 5
86,CUR_R_maorza 4
87,CUR_R_maorza 3
88,CUR_R_maorza 2
89,CUR_R_maorza 1
90,CUR_R_inmfor
91,CUR_R_dpmx2
92,CUR_R_dpmx1
93,CUR_R_dp 4
94,CUR_R_dp 3
95,CUR_R_dp 2
96,CUR_R_dp 1
97,CUR_L_zave 4
98,CUR_L_zave 3
99,CUR_L_zave 2
100,CUR_L_zave 1
101,CUR_L_zado 4
102,CUR_L_zado 3
103,CUR_L_zado 2
104,CUR_L_zado 1
105,CUR_L_sqpa 2
106,CUR_L_sqpa 1
107,CUR_L_smxmxvo 3
108,CUR_L_smxmxvo 2
109,CUR_L_smxmxvo 1
110,CUR_L_smxmf 5
111,CUR_L_smxmf 4
112,CUR_L_smxmf 3
113,CUR_L_smxmf 2
114,CUR_L_smxmf 1
115,CUR_L_maorza 5
116,CUR_L_maorza 4
117,CUR_L_maorza 3
118,CUR_L_maorza 2
119,CUR_L_maorza 1
120,CUR_L_inmfor
121,CUR_L_dpmx 2
122,CUR_L_dpmx 1
123,CUR_L_dp 4
124,CUR_L_dp 3
125,CUR_L_dp 2
126,CUR_L_dp 1
127,CUR_C_mdve 4
128,CUR_C_mdve 3
129,CUR_C_mdve 2
130,CUR_C_mdve 1
131,CUR_C_mddo 5
132,CUR_C_mddo 4
133,CUR_C_mddo 3
134,CUR_C_mddo 2
135,CUR_C_mddo 1