"","H_chr","L_con","L_for","M_bur","M_cap","M_cer","M_fus","M_gou","M_mus","N_ale","N_cer","N_fus","N_mit","P_aus","P_del","P_des","P_gra","P_her","P_hig","P_mol","P_nov","P_ora","P_pat","P_sho","R_fus","R_leu","R_lut","R_nor","R_rat","R_sor","R_tun","R_vil","U_cau","X_myo","Z_arg"
"H_chr",1,0.561,0.697,0.225,0.04,0.739,0.262,0.168,0.941,0.545,0.743,0.15,0.569,0.465,0.598,0.807,0.433,0.809,0.236,0.693,0.217,0.85,0.636,0.632,0.088,0.786,0.94,0.105,0.683,0.42,0.825,0.167,0.016,0.585,0.076
"L_con",NA,1,0.93,0.505,0.011,0.499,0.293,0.0679999999999999,0.315,0.664,0.656,0.163,0.901,0.906,0.907,0.919,0.347,0.837,0.249,0.607,0.25,0.871,0.725,0.893,0.268,0.252,0.178,0.0620000000000001,0.914,0.776,0.633,0.551,0.002,0.645,0.016
"L_for",NA,NA,1,0.68,0.016,0.624,0.375,0.043,0.416,0.793,0.752,0.217,0.85,0.88,0.964,0.966,0.221,0.914,0.32,0.555,0.323,0.927,0.809,0.95,0.45,0.346,0.265,0.103,0.96,0.843,0.752,0.7,0.001,0.748,0.003
"M_bur",NA,NA,NA,1,0.139,0.133,0.107,0.46,0.069,0.258,0.302,0.054,0.413,0.417,0.611,0.673,0.882,0.548,0.119,0.247,0.074,0.719,0.381,0.594,0.54,0.054,0.033,0.344,0.581,0.399,0.245,0.973,0.04,0.328,0.247
"M_cap",NA,NA,NA,NA,1,0.026,0.036,0.436,0.00900000000000001,0.052,0.101,0.017,0.00800000000000001,0.029,0.273,0.346,0.128,0.279,0.054,0.00600000000000001,0.025,0.52,0.177,0.253,0.45,0.005,0.003,0.434,0.255,0.094,0.049,0.201,0.245,0.118,0.983
"M_cer",NA,NA,NA,NA,NA,1,0.32,0.099,0.752,0.764,0.683,0.187,0.497,0.388,0.9,0.981,0.324,0.845,0.266,0.663,0.277,0.881,0.706,0.908,0.05,0.479,0.779,0.069,0.96,0.585,0.891,0.145,0.011,0.642,0.046
"M_fus",NA,NA,NA,NA,NA,NA,1,0.092,0.442,0.217,0.24,0.532,0.284,0.228,0.101,0.082,0.209,0.197,0.395,0.395,0.927,0.925,0.375,0.106,0.048,0.477,0.561,0.0580000000000001,0.097,0.182,0.246,0.085,0.017,0.369,0.0580000000000001
"M_gou",NA,NA,NA,NA,NA,NA,NA,1,0.04,0.19,0.264,0.045,0.0679999999999999,0.16,0.571,0.632,0.333,0.505,0.104,0.04,0.056,0.694,0.361,0.53,0.828,0.033,0.015,0.966,0.548,0.276,0.189,0.521,0.021,0.273,0.397
"M_mus",NA,NA,NA,NA,NA,NA,NA,NA,1,0.587,0.834,0.269,0.32,0.253,0.809,0.946,0.167,0.923,0.35,0.469,0.386,0.932,0.827,0.814,0.02,0.689,0.968,0.022,0.864,0.402,0.91,0.073,0.003,0.773,0.015
"N_ale",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.526,0.136,0.677,0.602,0.974,0.887,0.511,0.75,0.199,0.849,0.175,0.809,0.601,0.959,0.096,0.311,0.65,0.111,0.907,0.766,0.692,0.226,0.018,0.513,0.097
"N_cer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.121,0.654,0.545,0.376,0.53,0.535,0.929,0.194,0.745,0.199,0.799,0.674,0.38,0.138,0.919,0.88,0.171,0.428,0.461,0.633,0.264,0.045,0.636,0.158
"N_fus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.184,0.141,0.044,0.047,0.111,0.082,0.597,0.222,0.48,0.962,0.16,0.054,0.024,0.299,0.331,0.032,0.054,0.107,0.137,0.047,0.01,0.169,0.023
"N_mit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.962,0.91,0.915,0.327,0.841,0.249,0.696,0.251,0.888,0.71,0.891,0.225,0.246,0.208,0.055,0.903,0.825,0.62,0.485,0.004,0.638,0.023
"P_aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.836,0.853,0.482,0.759,0.204,0.725,0.185,0.856,0.612,0.828,0.193,0.187,0.192,0.094,0.823,0.811,0.496,0.394,0.00800000000000001,0.528,0.0610000000000001
"P_del",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.834,0.874,0.502,0.089,0.961,0.0580000000000001,0.653,0.337,0.977,0.328,0.549,0.875,0.424,0.912,0.852,0.754,0.561,0.154,0.288,0.416
"P_des",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.878,0.552,0.093,0.945,0.0649999999999999,0.621,0.346,0.856,0.41,0.769,0.975,0.502,0.89,0.796,0.941,0.595,0.213,0.298,0.476
"P_gra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.781,0.185,0.186,0.153,0.843,0.614,0.835,0.868,0.14,0.075,0.487,0.848,0.619,0.482,0.927,0.001,0.53,0.043
"P_her",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.114,0.9,0.23,0.64,0.683,0.516,0.333,0.953,0.955,0.4,0.509,0.663,0.788,0.494,0.179,0.665,0.383
"P_hig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.311,0.453,0.524,0.183,0.105,0.0620000000000001,0.37,0.425,0.074,0.1,0.174,0.205,0.11,0.034,0.211,0.074
"P_mol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.324,0.92,0.797,0.953,0.129,0.375,0.345,0.03,0.943,0.996,0.756,0.284,0.003,0.717,0.012
"P_nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.934,0.43,0.074,0.041,0.437,0.488,0.039,0.072,0.151,0.191,0.073,0.011,0.384,0.03
"P_ora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.76,0.66,0.55,0.926,0.949,0.629,0.66,0.783,0.83,0.703,0.435,0.795,0.621
"P_pat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.352,0.207,0.858,0.899,0.27,0.361,0.526,0.617,0.344,0.095,0.982,0.254
"P_sho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.319,0.564,0.881,0.407,0.922,0.811,0.776,0.511,0.121,0.293,0.375
"R_fus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.017,0.013,0.788,0.323,0.17,0.101,0.547,0.207,0.147,0.608
"R_leu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.693,0.02,0.624,0.227,0.602,0.052,0.003,0.793,0.02
"R_lut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01,0.937,0.458,0.951,0.042,0.001,0.85,0.003
"R_nor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.419,0.187,0.128,0.418,0.075,0.206,0.516
"R_rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.781,0.864,0.532,0.142,0.283,0.398
"R_sor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.516,0.376,0.032,0.453,0.181
"R_tun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.197,0.02,0.535,0.098
"R_vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.074,0.265,0.337
"U_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0659999999999999,0.0620000000000001
"X_myo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.185
"Z_arg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
